"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","95.9","3.1","0.8","0"
"Algeria","94.4","4.7","0.5","0.1"
"Argentina","90.2","8.4","1","0.3"
"Bangladesh","96.7","3.3","0","0"
"Bosnia Herzegovina","98.7","1.2","0","0"
"Canada","93.9","5.3","0.4","0.4"
"Chile","96.4","2.8","0.5","0.3"
"China","60.2","36.2","2.7","0.1"
"India","91.9","6","1.2","0.1"
"Indonesia","99","1","0","0"
"Iran","94.1","4.5","0.8","0.2"
"Iraq","97.3","2.2","0.1","0"
"Japan","91.3","6.4","0.7","0.1"
"Jordan","96.6","3.1","0.1","0.2"
"South Korea","89.6","10","0.4","0"
"Kyrgyzstan","87.2","12.1","0.7","0"
"Mexico","96.6","2.2","0.8","0.2"
"Moldova","85","12.1","1.7","0.3"
"Morocco","93.4","5.4","0.7","0.3"
"Nigeria","98.9","0.9","0.1","0"
"Pakistan","92.6","6.4","1","0.2"
"Peru","82.4","16.7","0.7","0.1"
"Philippines","98.6","1.3","0.1","0"
"Puerto Rico","95.7","3.8","0.4","0"
"Saudi Arabia","94.7","4.8","0.3","0"
"Singapore","91.8","7.7","0.5","0"
"Viet Nam","82.2","17","0.5","0.1"
"South Africa","95.2","3","1.7","0.1"
"Zimbabwe","97.3","2.6","0.1","0.1"
"Spain","85.4","13.4","0.9","0.2"
"Sweden","89.4","8.5","1.8","0.2"
"Turkey","97.3","2.1","0.3","0.2"
"Uganda","91","6.9","2","0.1"
"Macedonia","97.9","1.5","0.4","0.1"
"Egypt","96.4","3.3","0.2","0.1"
"Tanzania","89.6","5.6","1.3","0.2"
"United States","95.3","3.8","0.4","0.4"
"Venezuela","97.8","2.1","0.2","0"
"Serbia","92","7.1","0.8","0.1"
"Montenegro","92.3","7.5","0.1","0.1"
