"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","11.8","33.1","36.1","15.5"
"Azerbaijan","30","51.7","16.2","1.5"
"Argentina","26.4","49.3","20","3.3"
"Australia","44.4","44.4","9.8","0.6"
"Bangladesh","11.1","47.5","35.5","5"
"Armenia","23","47.4","22.4","4.7"
"Brazil","54.2","36.7","6.6","2.4"
"Bulgaria","20.9","38","30.2","6.4"
"Belarus","28.7","44.4","19.6","3.7"
"Chile","42","43.6","10.7","1.8"
"China","10.7","43.9","36.6","6"
"Taiwan","25.8","51.8","20.8","1"
"Colombia","39.7","48.5","10.8","0.8"
"Croatia","33","42.5","19.8","3.1"
"Czech Rep.","26.2","48","22","3.1"
"Dominican Rep.","29.7","37.2","22.8","5"
"El Salvador","61.8","26.7","9.1","1.6"
"Estonia","21.3","53.7","20.4","3.1"
"Finland","34.7","55.6","7.5","0.8"
"Georgia","36.2","44.8","14.1","4.3"
"Germany","31.8","54.9","11.6","0.7"
"Hungary","33.5","41.4","21.1","3.8"
"India","11.1","24.9","40.1","21.9"
"Japan","39.8","49.1","8.8","0.6"
"South Korea","22.7","62.8","12.4","1.3"
"Latvia","19.7","44.8","26.8","6.1"
"Lithuania","18.4","54.2","23.2","2.3"
"Mexico","35.5","36.5","23","3.6"
"Moldova","22.3","45.9","22.8","7.3"
"New Zealand","45","43.5","6.6","0.7"
"Nigeria","50.4","32.2","13.8","2.5"
"Norway","39","52.4","7.6","1.1"
"Pakistan","12.5","26.5","34","21.8"
"Peru","28.5","38","25.9","4.3"
"Philippines","14.2","41.4","35.6","8.5"
"Poland","23","54.9","16.7","2.4"
"Puerto Rico","47.1","41.3","10.3","0.9"
"Romania","27","45.4","21.1","5.1"
"Russia","25.8","44.5","24.4","3.8"
"Slovakia","25.6","55","16.6","1.7"
"Slovenia","33.3","44.4","19.1","2.7"
"South Africa","31.5","39.7","19.6","7.7"
"Spain","30.2","52","15.4","1.4"
"Sweden","51.4","43","4.4","0.7"
"Switzerland","45.2","43","9.4","1.1"
"Turkey","40.1","38.3","16.6","3.3"
"Ukraine","24.8","44.3","19.7","5.8"
"Macedonia","45.5","32.9","12.6","1.6"
"United States","42.3","45.7","10.7","0.8"
"Uruguay","46.4","41.3","9","1.5"
"Venezuela","60.4","26.4","10","2.7"
"Serbia","25.9","45.6","24.2","3"
"Montenegro","25.4","46.2","24.2","2.5"
"Bosnia","47.1","41.4","8.5","1.9"
