"Country","A stable economy","Progress toward a less impersonal and more humane society","Progress toward a society in which Ideas count more than money","The fight against crime"
"Albania","70.7","2.9","3.3","22.5"
"Azerbaijan","54.4","20.9","6.7","17.3"
"Argentina","50.8","26.3","9","13.2"
"Australia","36.7","22.8","12","28.1"
"Bangladesh","71.3","3.8","10.7","13"
"Armenia","58.1","14.8","8","18.7"
"Bulgaria","63.6","8.8","2.4","22.9"
"Belarus","65.8","15.7","2.1","15.5"
"Chile","40.8","30.3","6.7","21.4"
"China","65.8","10.2","9.9","10.2"
"Taiwan","48.5","18.7","10.9","19.2"
"Colombia","23.5","18.3","9.2","20.1"
"Croatia","60.9","14.8","13.9","9.4"
"Czech Rep.","60.8","6.8","6.8","23.6"
"Dominican Rep.","43.4","26.6","11.8","16.8"
"El Salvador","24","11.2","7.4","56.6"
"Estonia","59.8","15.9","4.1","19.3"
"Finland","44.7","31.8","7.1","15.5"
"Georgia","57.2","17","7","18.2"
"Germany","53.9","21.8","11.6","12.2"
"Hungary","70.2","5.4","4.5","19.8"
"India","59.4","12.3","10.9","6.3"
"Japan","45.7","35.6","4.5","10.1"
"South Korea","47.1","40.3","5.5","7"
"Latvia","67.8","15.8","2.5","13.7"
"Lithuania","60.9","8.3","3.8","24.5"
"Mexico","49.5","22.7","11.3","14.1"
"Moldova","64.4","13.2","3","18.7"
"New Zealand","56.1","15.3","4.7","10.7"
"Nigeria","71.8","6.5","6.4","13.8"
"Norway","38.5","29.3","5.2","26.7"
"Pakistan","37.7","16.5","9.1","36.6"
"Peru","60.7","13.2","9.8","14.1"
"Philippines","46.5","17.4","12.7","23.2"
"Poland","48.9","9.8","6.4","33.6"
"Puerto Rico","31","18.2","7.5","42.7"
"Romania","62.6","19.2","4.3","12.3"
"Russia","62","11.9","1.3","23.7"
"Slovakia","68.8","7.2","5.1","18.2"
"Slovenia","66.5","12.6","5.5","13.1"
"South Africa","50.5","10.3","6.4","31.6"
"Spain","45.5","25.4","10.9","16.1"
"Sweden","49.5","24.4","8.7","16.5"
"Switzerland","42.8","32.4","11.7","11.9"
"Turkey","39.5","19.7","17.4","18.2"
"Ukraine","67.1","12.6","2.2","15.4"
"Macedonia","80.2","4.6","2.6","10.9"
"United States","43.2","14.5","10.9","29.9"
"Uruguay","56.4","25.5","4.8","10.6"
"Venezuela","54.2","13.6","8.3","23.5"
"Serbia","62.6","9.6","4.8","22.3"
"Montenegro","63.3","11.7","3.3","20.8"
"Bosnia","74","10.1","3.9","11.5"
