"Country","Very important","Rather important","Not very important","Not at all important"
"Algeria","90.7","6.7","1.2","0.9"
"Azerbaijan","35.9","33.3","20.5","10.2"
"Argentina","24.1","32.1","24.7","17.8"
"Australia","14.1","17","27.9","37.4"
"Armenia","57.5","31.8","7.1","3.5"
"Brazil","51.5","37.9","7.3","3.2"
"Belarus","15.9","32.1","33.4","17.4"
"Chile","23.8","35.1","27.3","13"
"China","2.6","8","29.6","49.8"
"Taiwan","17.7","35","37.2","8.6"
"Colombia","58.9","26.5","11.1","3.5"
"Cyprus","51.1","28.8","13.2","6.6"
"Ecuador","67.1","20.8","9.5","2.7"
"Estonia","7.6","17.7","37.4","35.7"
"Georgia","84.9","12.1","2.1","0.8"
"Palestine","87.5","9.4","2.3","0.7"
"Germany","13.1","24.9","36.1","25.6"
"Ghana","91.1","7.4","1.5","0"
"Haiti","28","47.4","16.1","7.4"
"Hong Kong","12.1","21.3","43.8","22.6"
"India","67.1","24.2","5.5","1.8"
"Iraq","84.7","12.8","2.3","0.2"
"Japan","5.4","13.6","33.2","34.3"
"Kazakhstan","21.5","33.5","33.6","11.4"
"Jordan","93.3","6.2","0.2","0.1"
"South Korea","25.7","28.5","26.1","18.5"
"Kuwait","86.5","7.4","2.1","0.5"
"Kyrgyzstan","39.3","45.5","11.4","3.7"
"Lebanon","52.9","24.1","11.8","8.2"
"Libya","94.9","3","0.3","0.1"
"Malaysia","84.8","12","2.9","0.2"
"Mexico","58.4","25.4","11.2","5"
"Morocco","88.9","9.8","0.8","0.2"
"Netherlands","10.7","14.5","28.9","43.8"
"New Zealand","18.7","17.4","27.9","30.7"
"Nigeria","89.8","7.7","1.8","0.7"
"Pakistan","89.5","8","1.2","0.6"
"Peru","49.9","30.3","15.7","2.8"
"Philippines","85.9","12.2","1.6","0.3"
"Poland","45.7","33.9","15.1","4.8"
"Qatar","98.9","0.9","0.2","0"
"Romania","50.5","33.3","12.7","3.2"
"Russia","14.3","27.5","30.5","22.4"
"Rwanda","40.3","32","24.2","3.5"
"Singapore","43.1","33.6","17.8","5.4"
"Slovenia","11.2","21.7","40.5","25.9"
"South Africa","55.8","28.1","9.8","4.8"
"Zimbabwe","83.5","12.1","3.7","0.7"
"Spain","10.7","21.3","31.2","35.9"
"Sweden","7.9","18.3","38.5","34.3"
"Thailand","56.6","31.1","9.5","2.3"
"Trinidad and Tobago","78.5","12.1","6.5","2"
"Tunisia","95.4","2.7","1","0.6"
"Turkey","68.1","24.6","4","3"
"Ukraine","26.3","34.5","26.5","12.8"
"Egypt","94.1","5.7","0","0.1"
"United States","40.4","28","18.2","12.7"
"Uruguay","20.3","18.3","30.1","30.6"
"Uzbekistan","34.3","38.7","19.6","6.2"
"Yemen","95.8","2.8","0.4","0.8"
