Country,Very good,Good,Fair,Poor,Very poor,No answer,Don´t know
TOTAL,24.9,43.1,25.2,6.2,0.2,0.1,0.3
Albania,24.6,50.3,21.5,3.5,0,0,0.1
Algeria,12.2,31,48,8.1,0,0,0.7
Argentina,24.9,39.6,28.3,6.4,0.3,0,0.5
Bangladesh,11.5,46.8,36.8,4.7,0,0,0.2
Bosnia Herzegovina,26.2,38.1,27.2,8.2,0,0,0.3
Canada,41.5,40.4,14.2,3.7,0,0.1,0
Chile,19.8,48.9,26.9,4.4,0,0,0.1
China,29.8,31.2,26.4,12.4,0,0.2,0
India,20.4,41.7,26.5,10.6,0,0,0.8
Indonesia,10.1,64.1,22.6,3.1,0,0,0.1
Iran,27.5,46.8,19.6,4.4,0,0.8,0.9
Iraq,24.6,51.5,15.4,7.3,0,1.1,0.1
Japan,14.6,39.3,36.8,7.8,0,0,1.5
Jordan,30.6,52.8,9.4,5.6,1.6,0,0
South Korea,14,63.5,21.4,1.1,0,0,0
Kyrgyzstan,12.3,48.7,33.3,5.8,0,0,0
Mexico,19.3,42,34.3,4.1,0,0,0.3
Moldova,3.4,26.2,38.5,31.3,0,0,0.6
Morocco,28.3,39,25.2,7.5,0,0,0
Nigeria,59,30.5,9.5,1,0,0,0
Pakistan,15.1,51.2,29.8,4,0,0,0
Peru,11.3,37.9,47.9,2.9,0,0,0.1
Philippines,18.9,38.3,35.7,7.1,0,0,0
Puerto Rico,31.8,41,24,3.1,0,0,0.1
Saudi Arabia,49.1,40.1,9.3,1.3,0,0,0.2
Viet Nam,17.3,40.3,32.2,10.1,0,0,0.1
South Africa,46.6,31.3,18.3,3.7,0,0,0.1
Zimbabwe,31.1,32.1,29.4,7.1,0,0,0.3
Spain,19.6,55.7,19.6,4.8,0,0,0.2
Turkey,18.4,46.5,24.8,7.5,2.5,0,0.3
Uganda,22.7,49.4,24.5,3.4,0,0,0
Macedonia,22.9,48.1,21.1,7.7,0,0,0.2
Egypt,19.7,47.8,24.1,8.3,0,0,0
Tanzania,22.5,40.1,30,5.6,0,0.4,1.4
United States,41.9,41.8,13.5,2.6,0,0,0.1
Serbia,15.1,36.8,35.2,12.4,0,0,0.5
Montenegro,20.1,38.4,27.4,13.4,0,0,0.8
