"Country","Most people can be trusted","Can't be too careful","Don't know"
"Andorra","20","79.2","0.3"
"Argentina","17.4","81.3","1.1"
"Australia","45.6","53.2","0"
"Brazil","9.2","89.2","0"
"Bulgaria","19.6","68.7","11.4"
"Canada","41.8","55.9","2.2"
"Chile","12.4","86.1","0.7"
"China","49.3","44.4","5.5"
"Taiwan","24.2","75.6","0.2"
"Colombia","14.3","84.6","1.1"
"Cyprus","9.7","88.5","0"
"Ethiopia","21.4","66.2","7.4"
"Finland","58","40.5","1.5"
"France","18.7","80.8","0.1"
"Georgia","17.6","79.4","2.7"
"Germany","33.8","57.9","6.6"
"Ghana","8.5","91.1","0.4"
"Guatemala","14.9","84.6","0.5"
"Hong Kong","40.3","57.9","1.8"
"Hungary","28.7","69.5","1.1"
"India","20.7","68.2","11.1"
"Indonesia","37.5","50.6","3.1"
"Iran","10.5","88.7","0.7"
"Iraq","38.6","56","4.1"
"Italy","27.5","66.7","3.1"
"Japan","36.6","57","6.4"
"Jordan","30.7","68.7","0"
"South Korea","28","71.1","0"
"Malaysia","8.8","91.2","0"
"Mali","14.9","70.1","1.7"
"Mexico","15.4","83.8","0.4"
"Moldova","17.6","80.9","1.5"
"Morocco","12.8","85.3","0"
"Netherlands","42.6","52","3.1"
"New Zealand","48.5","46.3","0"
"Norway","73.7","25.7","0.6"
"Peru","6.2","92.4","0"
"Poland","18.1","77.3","4.4"
"Romania","19.3","75.6","3"
"Russia","24.6","69.1","5.5"
"Rwanda","4.8","94.6","0.3"
"Serbia","13.6","75.4","9.9"
"Vietnam","50.9","46.8","2.1"
"Slovenia","17.5","78.9","2.9"
"Spain","19.8","78.9","1"
"Sweden","65.2","30.7","0"
"Switzerland","51.2","43.8","3.7"
"Thailand","41.3","58.1","0"
"Trinidad and Tobago","3.8","95.9","0.1"
"Turkey","4.8","94.6","0.3"
"Ukraine","24.5","64.4","2.8"
"Egypt","18.5","81.3","0.1"
"United Kingdom","30","68.3","1.5"
"United States","39.1","60.3","0"
"Burkina Faso","13.8","80.2","2.2"
"Uruguay","24.6","61.9","0"
"Zambia","10.8","82.7","4.3"
