"Country","Very important","Rather important","Not very important","Not at all important"
"Algeria","76","10.9","4.8","5.7"
"Azerbaijan","67.3","16","11.7","5"
"Argentina","57.4","29.8","7","4.4"
"Australia","30.2","51.4","8.6","5.9"
"Bahrain","24.8","42.3","22.8","9.4"
"Armenia","70.9","22.3","3.4","2"
"Brazil","63.6","34.2","1.3","0.6"
"Belarus","45.2","32.4","12.4","9.1"
"Chile","56.3","32.5","5.8","2.9"
"China","38.1","41.5","13.3","2.7"
"Taiwan","60.2","29.9","6.2","2.5"
"Colombia","76.3","22.1","0.9","0.7"
"Cyprus","66.4","25.6","5","2.4"
"Ecuador","88.5","7.3","2.8","1.3"
"Estonia","53","29.3","8.8","7.8"
"Georgia","73.1","15.6","6.4","4.7"
"Palestine","64.6","19.7","8.9","3.9"
"Germany","39.4","40.5","9.9","7"
"Ghana","94.8","3.9","1.1","0.2"
"Hong Kong","31.5","48.5","15.1","4.7"
"India","77.3","16.8","2.5","1.7"
"Iraq","66","24.8","6.8","2.3"
"Japan","52.1","32.1","8.4","1.9"
"Kazakhstan","61.9","23.1","10.7","4.3"
"Jordan","68.1","18.7","5.3","6.3"
"South Korea","60.8","29.8","4.8","3.4"
"Kuwait","75.8","16.4","2.9","2"
"Kyrgyzstan","63.7","29.6","5","1.7"
"Lebanon","62.4","20.3","9.5","4.9"
"Libya","78.9","10","5.6","3.2"
"Malaysia","82.8","13.1","3.3","0.8"
"Mexico","87","8.5","2.8","1.7"
"Morocco","82.5","12.7","2.6","1.5"
"Netherlands","29.5","49.1","12.4","5.2"
"New Zealand","35","46.1","8.1","5"
"Nigeria","76.8","16.3","3.9","2.9"
"Pakistan","72.8","17.3","4.9","3.2"
"Peru","69.1","25.6","3.2","0.6"
"Philippines","90.5","7.5","1.4","0.4"
"Poland","64.2","25","4","3.8"
"Qatar","84.5","9.9","4.2","1.4"
"Romania","55.9","34.3","6.4","2.8"
"Russia","45","29.3","9.4","9.7"
"Rwanda","70.5","18","10","1.4"
"Singapore","43.4","39.6","13.1","3.8"
"Slovenia","41.3","46.9","8.8","1.8"
"South Africa","57.5","22.6","9.4","6.1"
"Zimbabwe","85.4","11.8","1.7","1"
"Spain","62.4","22.3","7.8","6.3"
"Sweden","50.3","34.6","7.5","2.5"
"Thailand","66.6","25.4","5.4","1.9"
"Trinidad and Tobago","76.5","10.6","5.5","6.7"
"Tunisia","87","7.2","3.1","2.2"
"Turkey","49.6","31.7","11.9","5.7"
"Ukraine","52.6","26.2","12","9.2"
"Egypt","61","21.3","9.7","8"
"United States","35.6","44.3","12.9","6.6"
"Uruguay","63.7","26","4.8","4.5"
"Uzbekistan","71.1","13.6","8.7","5.9"
"Yemen","69.9","15.1","8.1","5.8"
