"Country","1995","2004","2009","2014"
"Afghanistan","7.61","6.99","6.04","4.98"
"Albania","2.59","1.82","1.65","1.71"
"Algeria","3.45","2.44","2.83","2.89"
"Angola","6.92","6.5","6.24","5.84"
"Antigua and Barbuda","2.21","2.25","2.15","2.08"
"Argentina","2.76","2.47","2.38","2.32"
"Armenia","1.8","1.4","1.6","1.69"
"Australia","1.82","1.82","1.94","1.87"
"Austria","1.42","1.42","1.39","1.48"
"Azerbaijan","2.58","1.84","1.91","2.09"
"Bahamas","2.51","1.86","1.88","1.79"
"Bahrain","3.1","2.53","2.18","2.07"
"Bangladesh","3.73","2.7","2.32","2.16"
"Barbados","1.73","1.76","1.78","1.79"
"Belarus","1.47","1.29","1.5","1.67"
"Belgium","1.61","1.73","1.81","1.79"
"Belize","4.11","3.18","2.76","2.58"
"Benin","6.36","5.69","5.42","5.12"
"Bhutan","4.6","2.95","2.46","2.13"
"Bolivia","4.58","3.68","3.27","2.97"
"Bosnia and Herzegovina","1.71","1.3","1.3","1.33"
"Botswana","3.95","3.04","2.89","2.81"
"Brazil","2.5","2.03","1.82","1.75"
"Brunei","2.93","1.89","1.82","1.89"
"Bulgaria","1.34","1.3","1.47","1.53"
"Burkina Faso","6.84","6.34","5.95","5.52"
"Burundi","7.29","6.76","6.35","5.87"
"Cambodia","4.69","3.31","2.95","2.63"
"Cameroon","5.98","5.39","5.17","4.85"
"Canada","1.64","1.55","1.64","1.6"
"Cape Verde","4.54","3.24","2.75","2.42"
"Central African Republic","5.62","5.41","5.25","5.01"
"Chad","7.43","7.15","6.7","6.16"
"Chile","2.31","2","1.9","1.8"
"China","1.64","1.55","1.59","1.61"
"Colombia","2.66","2.24","2.04","1.9"
"Comoros","5.25","5.25","4.99","4.54"
"Congo, Dem. Rep.","7.18","6.76","6.52","6.24"
"Congo, Rep.","5.14","5.05","4.97","4.78"
"Costa Rica","2.82","2.11","1.95","1.82"
"Cote d'Ivoire","6.06","5.47","5.26","5.03"
"Croatia","1.52","1.37","1.45","1.49"
"Cuba","1.64","1.58","1.62","1.71"
"Cyprus","2.12","1.55","1.44","1.36"
"Czech Republic","1.39","1.25","1.45","1.51"
"Denmark","1.81","1.78","1.84","1.83"
"Djibouti","5.35","3.99","3.4","2.98"
"Dominican Republic","3.13","2.78","2.63","2.48"
"Ecuador","3.36","2.83","2.68","2.54"
"Egypt","3.71","3.05","3.11","3.34"
"El Salvador","3.58","2.6","2.31","2.13"
"Equatorial Guinea","5.97","5.62","5.29","4.86"
"Eritrea","5.91","5.01","4.68","4.29"
"Estonia","1.43","1.48","1.65","1.61"
"Ethiopia","7","5.87","5.06","4.44"
"Fiji","3.28","2.91","2.7","2.57"
"Finland","1.81","1.8","1.86","1.83"
"France","1.72","1.92","1.99","1.98"
"Gabon","5","4.27","4.11","3.91"
"Gambia","6.04","5.86","5.74","5.54"
"Georgia","1.88","1.63","1.87","2"
"Germany","1.31","1.35","1.38","1.44"
"Ghana","5.17","4.55","4.31","4.1"
"Greece","1.37","1.38","1.43","1.33"
"Grenada","3.12","2.37","2.26","2.15"
"Guatemala","5.09","4.11","3.47","3.09"
"Guinea","6.39","5.8","5.42","5.01"
"Guinea-Bissau","6.29","5.47","5.11","4.78"
"Guyana","3.07","2.88","2.68","2.56"
"Haiti","4.89","3.85","3.41","3.03"
"Honduras","4.64","3.57","2.98","2.56"
"Hungary","1.56","1.3","1.33","1.35"
"Iceland","2.13","2.04","2.09","1.96"
"India","3.65","3.04","2.67","2.38"
"Indonesia","2.69","2.52","2.49","2.41"
"Iran","3.22","1.87","1.77","1.71"
"Iraq","5.42","4.59","4.56","4.48"
"Ireland","1.9","1.98","2","1.99"
"Israel","2.92","2.91","2.97","3.02"
"Italy","1.24","1.34","1.42","1.45"
"Jamaica","2.77","2.4","2.21","2.05"
"Japan","1.41","1.3","1.36","1.43"
"Jordan","4.61","3.78","3.68","3.51"
"Kazakhstan","2.24","2.16","2.62","2.68"
"Kenya","5.46","4.91","4.48","3.99"
"Kiribati","4.37","3.93","3.86","3.73"
"Kuwait","2.72","2.55","2.28","2.01"
"Kyrgyz Republic","3.3","2.54","2.91","3.08"
"Lao","5.39","3.72","3.24","2.82"
"Latvia","1.36","1.35","1.5","1.52"
"Lebanon","2.62","1.84","1.6","1.71"
"Lesotho","4.55","3.64","3.33","3.19"
"Liberia","6.16","5.55","5.11","4.72"
"Libya","3.64","2.54","2.42","2.35"
"Lithuania","1.64","1.3","1.47","1.62"
"Luxembourg","1.71","1.65","1.59","1.56"
"Macedonia, FYR","1.98","1.57","1.46","1.51"
"Madagascar","5.98","5.14","4.69","4.3"
"Malawi","6.42","5.96","5.47","4.74"
"Malaysia","3.31","2.36","2.17","2.07"
"Maldives","4.3","2.42","2.24","2.17"
"Mali","7.06","6.82","6.61","6.23"
"Malta","1.97","1.42","1.38","1.43"
"Mauritania","5.77","5.23","5.02","4.79"
"Mauritius","2.14","1.87","1.62","1.46"
"Mexico","3.02","2.54","2.36","2.24"
"Micronesia, Fed. Sts.","4.66","3.91","3.52","3.24"
"Moldova","1.9","1.22","1.27","1.26"
"Mongolia","2.74","2.11","2.54","2.81"
"Montenegro","1.98","1.85","1.79","1.69"
"Morocco","3.3","2.61","2.57","2.56"
"Mozambique","5.96","5.76","5.6","5.37"
"Myanmar","3.04","2.78","2.47","2.26"
"Namibia","4.59","3.71","3.61","3.52"
"Nepal","4.72","3.43","2.74","2.22"
"Netherlands","1.53","1.73","1.79","1.76"
"New Zealand","2.11","2.02","2.13","2.03"
"Nicaragua","3.78","2.74","2.48","2.26"
"Niger","7.73","7.63","7.52","7.34"
"Nigeria","6.26","6.01","5.87","5.65"
"North Korea","2.12","2","1.99","1.93"
"Norway","1.87","1.83","1.98","1.87"
