"Country","1995","2004","2009","2014"
"Afghanistan","0.0727","0.0394","0.242","0.299"
"Albania","0.672","1.34","1.48","1.96"
"Algeria","3.3","2.7","3.42","3.72"
"Andorra","6.66","7.36","6.12","5.83"
"Angola","0.769","0.996","1.23","1.29"
"Antigua and Barbuda","3.74","4.78","5.45","5.38"
"Argentina","3.66","4.07","4.41","4.75"
"Armenia","1.06","1.21","1.51","1.9"
"Australia","15.6","17.2","18.2","15.4"
"Austria","7.48","8.81","7.49","6.8"
"Azerbaijan","4.29","3.8","3.57","3.94"
"Bahamas","6.01","5.34","4.63","6.32"
"Bahrain","26.3","21.1","23.8","23.4"
"Bangladesh","0.192","0.267","0.357","0.459"
"Barbados","3.13","4.74","5.81","4.49"
"Belarus","5.99","6.01","6.45","6.69"
"Belgium","11","10.6","9.2","8.32"
"Belize","1.82","1.42","1.87","1.41"
"Benin","0.225","0.324","0.521","0.614"
"Bhutan","0.484","0.481","0.544","1.29"
"Bolivia","1.3","1.24","1.43","1.93"
"Bosnia and Herzegovina","0.892","4.13","5.53","6.23"
"Botswana","1.94","2.13","1.9","3.24"
"Brazil","1.59","1.83","1.88","2.59"
"Brunei","16.1","13.9","20.5","22.1"
"Bulgaria","6.92","6.04","5.72","5.87"
"Burkina Faso","0.0621","0.0847","0.128","0.162"
"Burundi","0.04","0.0276","0.0225","0.0445"
"Cambodia","0.146","0.187","0.33","0.438"
"Cameroon","0.314","0.233","0.346","0.315"
"Canada","15.9","17.3","15.9","15.1"
"Cape Verde","0.311","0.706","1.06","0.933"
"Central African Republic","0.07","0.0579","0.0575","0.0666"
"Chad","0.0157","0.0389","0.0427","0.0538"
"Chile","2.92","3.74","3.97","4.69"
"China","2.68","3.98","5.92","7.4"
"Colombia","1.59","1.29","1.6","1.76"
"Comoros","0.154","0.239","0.196","0.203"
"Congo, Dem. Rep.","0.051","0.0226","0.028","0.0634"
"Congo, Rep.","0.559","0.263","0.41","0.635"
"Costa Rica","1.39","1.66","1.76","1.63"
"Cote d'Ivoire","0.455","0.426","0.284","0.49"
"Croatia","3.68","5.1","4.88","3.96"
"Cuba","2.36","2.22","2.64","3.05"
"Cyprus","6.29","7.26","7.39","5.26"
"Czech Republic","12","11.4","10.3","9.1"
"Denmark","10.9","9.37","8.05","5.91"
"Djibouti","0.483","0.528","0.552","0.792"
"Dominica","1.13","1.62","1.85","1.86"
"Dominican Republic","2.01","2.01","2.07","2.07"
"Ecuador","2","2.15","2.46","2.76"
"Egypt","1.5","2","2.51","2.2"
"El Salvador","0.896","1.06","1.05","1"
"Equatorial Guinea","0.254","7.2","5.08","4.73"
"Eritrea","0.303","0.2","0.119","0.147"
"Estonia","12.2","12.7","10.9","14.8"
"Ethiopia","0.0447","0.071","0.0776","0.119"
"Fiji","0.984","1.65","0.93","1.32"
"Finland","10.3","12.8","9.95","8.66"
"France","6","6.3","5.61","4.72"
"Gabon","4.26","3.44","2.68","2.77"
"Gambia","0.186","0.21","0.233","0.268"
"Georgia","0.459","0.954","1.46","2.25"
"Germany","10.6","10","8.92","8.83"
"Ghana","0.315","0.35","0.322","0.537"
"Greece","7.3","8.62","8.03","5.98"
"Grenada","1.5","2","2.43","2.28"
"Guatemala","0.688","0.908","0.828","1.15"
"Guinea","0.164","0.205","0.214","0.207"
"Guinea-Bissau","0.161","0.149","0.155","0.157"
"Guyana","1.92","2.17","2.1","2.63"
"Haiti","0.115","0.218","0.23","0.271"
"Honduras","0.68","1.02","0.98","1.08"
"Hungary","5.83","5.68","4.87","4.29"
"Iceland","7.28","7.71","6.5","6.04"
"India","0.845","1.03","1.43","1.73"
"Indonesia","1.14","1.51","1.87","1.82"
"Iran","4.51","6.42","7.52","8.28"
