"Country","1995","2004","2009","2014"
"Afghanistan","5.57","4.47","2.57","3.18"
"Albania","-0.618","-0.418","-0.674","-0.207"
"Algeria","1.89","1.31","1.72","2"
"Andorra","1.85","4.1","0.714","-1.96"
"Angola","3.04","3.57","3.57","3.49"
"Antigua and Barbuda","2.61","1.1","1.19","1.07"
"Argentina","1.26","1.09","1.03","1.03"
"Armenia","-2.04","-0.571","-0.677","0.438"
"Australia","1.21","1.16","2.06","1.54"
"Austria","0.153","0.62","0.262","0.782"
"Azerbaijan","1.15","0.875","2.08","1.25"
"Bahamas","1.53","2.12","1.76","1.3"
"Bahrain","2.54","6.36","6.13","1.58"
"Bangladesh","2.15","1.63","1.1","1.16"
"Barbados","0.357","0.305","0.414","0.31"
"Belarus","-0.323","-0.682","-0.223","0.0899"
"Belgium","0.209","0.433","0.805","0.234"
"Belize","2.59","2.55","2.5","2.16"
"Benin","3.29","3.01","2.81","2.78"
"Bhutan","-0.315","2.67","1.91","1.49"
"Bolivia","1.97","1.77","1.64","1.54"
"Bosnia and Herzegovina","-2.7","0.054","-0.454","-1.09"
"Botswana","2.35","1.38","1.71","1.86"
"Brazil","1.61","1.23","0.988","0.888"
"Brunei","2.61","1.72","1.18","1.47"
"Bulgaria","-0.445","-0.755","-0.644","-0.568"
"Burkina Faso","2.75","2.93","3.03","2.96"
"Burundi","1.53","3.25","3.31","2.99"
"Cambodia","3.23","1.62","1.5","1.64"
"Cameroon","2.64","2.66","2.74","2.66"
"Canada","0.828","1","1.14","1.08"
"Cape Verde","2.6","1.62","1.06","1.21"
"Central African Republic","2.57","1.83","1.35","0.349"
"Chad","3.32","3.74","3.26","3.26"
"Chile","1.45","1.1","1","0.86"
"China","1.09","0.594","0.497","0.506"
"Colombia","1.67","1.35","1.14","0.944"
"Comoros","2.8","2.37","2.41","2.38"
"Congo, Dem. Rep.","3.23","3.15","3.32","3.32"
"Congo, Rep.","2.78","2.9","3.3","2.49"
"Costa Rica","2.46","1.47","1.32","1.08"
"Cote d'Ivoire","3.19","1.78","2.22","2.54"
"Croatia","0.408","-0.0225","-0.123","-0.407"
"Cuba","0.51","0.196","0.0782","0.242"
"Cyprus","2.16","1.68","1.52","0.733"
"Czech Republic","-0.0613","0.0304","0.57","0.105"
"Denmark","0.521","0.258","0.535","0.507"
"Djibouti","1.28","1.59","1.68","1.71"
"Dominica","-0.00701","0.407","0.218","0.521"
"Dominican Republic","1.78","1.5","1.35","1.2"
"Ecuador","2.16","1.64","1.67","1.53"
"Egypt","1.93","1.87","1.85","2.21"
"El Salvador","1.19","0.488","0.441","0.485"
"Equatorial Guinea","3.58","4.26","4.58","4.13"
"Eritrea","0.153","3.17","1.82",""
"Estonia","-1.79","-0.598","-0.193","-0.262"
"Ethiopia","3.33","2.83","2.65","2.58"
"Fiji","1.28","0.211","1.02","0.69"
"Finland","0.382","0.29","0.478","0.414"
"France","0.361","0.736","0.514","0.48"
"Gabon","2.56","2.68","3.22","3.17"
"Gambia","2.8","3.22","3.16","3.1"
"Georgia","-2.66","-1.3","-1.3","-1.31"
"Germany","0.294","-0.0217","-0.253","0.417"
"Ghana","2.6","2.61","2.56","2.31"
"Greece","0.467","0.247","0.263","-0.666"
"Grenada","0.851","0.274","0.352","0.425"
"Guatemala","2.3","2.34","2.19","2.08"
"Guinea","4.24","1.92","2.24","2.3"
"Guinea-Bissau","2.1","2.18","2.44","2.6"
"Guyana","0.388","-0.0273","-0.0832","0.698"
"Haiti","1.87","1.58","1.51","1.34"
"Honduras","2.78","2.39","2.04","1.73"
"Hungary","-0.139","-0.221","-0.155","-0.269"
"Iceland","0.542","0.878","0.341","1.11"
"India","1.92","1.62","1.42","1.19"
"Indonesia","1.54","1.38","1.34","1.22"
"Iran","1.41","1.16","1.15","1.25"
"Iraq","3.07","2.65","2.65","3.26"
"Ireland","0.513","1.83","1.02","0.731"
"Israel","2.67","1.77","2.39","1.92"
"Italy","0.00159","0.647","0.456","0.917"
"Jamaica","0.966","0.598","0.499","0.36"
"Japan","0.382","0.0337","-0.0125","-0.133"
"Jordan","3.95","2.54","4.98","4.6"
"Kazakhstan","-1.75","0.695","2.64","1.47"
"Kenya","2.96","2.73","2.74","2.64"
"Kiribati","1.37","1.84","2.14","1.76"
"Kuwait","","1.77","6.09","4.99"
"Kyrgyz Republic","0.998","1.21","1.21","2.01"
"Lao","2.33","1.51","1.64","1.25"
"Latvia","-1.43","-1.09","-1.65","-0.942"
"Lebanon","1.96","4.28","1.74","6.02"
"Lesotho","1.67","0.812","0.959","1.33"
"Liberia","2.97","1.91","3.97","2.41"
"Libya","1.91","1.57","1.12","0.131"
"Liechtenstein","1.53","0.798","0.631","0.792"
"Lithuania","-0.77","-1.12","-1.11","-0.86"
"Luxembourg","1.4","1.42","1.85","2.36"
"Macedonia, FYR","0.0781","0.176","0.0829","0.0846"
"Madagascar","3.08","2.99","2.82","2.7"
"Malawi","1.14","2.71","3.06","2.92"
"Malaysia","2.51","1.95","1.81","1.74"
"Maldives","2.25","2.68","2.7","2.69"
"Mali","2.65","3.17","3.26","2.9"
"Malta","0.697","0.672","0.754","2"
"Marshall Islands","0.866","-0.0806","0.195","0.199"
"Mauritania","2.86","2.86","2.86","2.94"
"Mauritius","0.86","0.627","0.266","0.181"
"Mexico","1.82","1.27","1.61","1.37"
"Micronesia, Fed. Sts.","1.4","-0.224","-0.497","0.301"
"Moldova","-0.432","-0.247","-0.126","-0.061"
"Monaco","0.864","1.15","1.88","0.423"
"Mongolia","0.766","1.11","1.52","1.89"
"Montenegro","0.0528","0.177","0.215","0.097"
"Morocco","1.52","1.12","1.24","1.45"
"Mozambique","3.5","2.98","2.92","2.9"
"Myanmar","1.22","0.938","0.647","0.921"
"Namibia","2.98","1.14","1.45","2.32"
"Nauru","1.13","0.198","-0.0201","9.11"
"Nepal","2.5","1.43","0.997","1.2"
"Netherlands","0.494","0.347","0.514","0.36"
"New Zealand","1.46","1.49","1","1.51"
"Nicaragua","2","1.3","1.28","1.14"
"Niger","3.5","3.65","3.77","3.84"
"Nigeria","2.49","2.56","2.66","2.66"
"North Korea","1.31","0.808","0.524","0.52"
"Norway","0.519","0.591","1.26","1.13"
"Oman","2.57","2.46","4.39","6.5"
"Pakistan","2.52","2.06","2.06","2.09"
"Palau","2.63","0.527","0.562","0.828"
"Palestine","4.48","2.56","2.89","2.96"
"Panama","2.05","1.86","1.78","1.69"
"Papua New Guinea","2.56","2.48","2.33","2.12"
"Paraguay","2.33","1.69","1.33","1.33"
"Peru","1.76","1.24","1.25","1.32"
"Philippines","2.32","1.96","1.61","1.63"
"Poland","0.136","-0.0585","0.0678","-0.0748"
"Portugal","0.346","0.239","0.0953","-0.539"
"Qatar","1.25","9.72","13.5","5.36"
"Romania","-0.202","-0.57","-0.833","-0.375"
"Russia","0.0268","-0.403","0.0301","0.218"
"Rwanda","-1.29","1.58","2.74","2.5"
"Samoa","0.808","0.628","0.706","0.8"
"San Marino","1.4","1.3","1.22","1.09"
"Sao Tome and Principe","1.98","2.4","2.31","2.23"
"Saudi Arabia","2.29","2.94","2.74","2.74"
"Senegal","2.72","2.64","2.8","2.97"
"Serbia","-1.42","-0.233","-0.401","-0.469"
"Seychelles","1.47","-0.37","0.393","1.56"
"Sierra Leone","-0.206","4.52","2.32","2.24"
"Singapore","3.04","1.25","3.02","1.3"
"Slovak Republic","0.293","-0.0204","0.133","0.097"
"Slovenia","0.0216","0.0641","0.904","0.0984"
"Solomon Islands","2.82","2.55","2.27","2.11"
"Somalia","1.58","2.81","2.94","2.86"
"South Africa","2.09","1.25","1.1","1.43"
"South Korea","1.01","0.396","0.515","0.628"
"South Sudan","0.51","3.74","4.31","3.11"
"Spain","0.441","1.73","0.886","-0.299"
"Sri Lanka","0.819","0.815","0.646","0.9"
"St. Kitts and Nevis","1.22","1.4","1.09","1.07"
"St. Lucia","1.23","0.791","1.06","0.432"
"St. Vincent and the Grenadines","-0.00647","0.193","0.0806","0.0338"
"Sudan","3.18","2.52","2.09","2.38"
"Suriname","1.52","1.08","1.06","0.988"
"Swaziland","2","0.702","1.86","1.84"
"Sweden","0.525","0.393","0.852","0.992"
"Switzerland","0.668","0.687","1.25","1.22"
"Syria","2.8","2.22","2.43","-3.11"
"Tajikistan","1.48","2.05","2.21","2.24"
"Tanzania","3.02","2.92","3.17","3.11"
"Thailand","0.997","0.69","0.504","0.401"
"Timor-Leste","1.71","3.66","1.28","2.37"
"Togo","2.62","2.62","2.7","2.61"
"Tonga","0.253","0.616","0.58","0.43"
"Trinidad and Tobago","0.374","0.504","0.474","0.462"
"Tunisia","1.74","0.781","1.09","1.17"
"Turkey","1.59","1.39","1.27","1.63"
