"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","95.8","3.2","0.3","0.2"
"Azerbaijan","84.7","13.2","1.4","0.1"
"Argentina","86.6","12.1","1.3","0.1"
"Australia","90.2","8","1.4","0.4"
"Bangladesh","94.2","5","0.5","0.1"
"Armenia","86","12","1.2","0.4"
"Bulgaria","87.9","10.2","0.9","0.3"
"Belarus","83.8","13.2","2","0.2"
"Chile","88.8","8.9","1.1","0.1"
"China","76.5","22","1.2","0.1"
"Taiwan","77.7","20.6","0.9","0.4"
"Colombia","86","13.5","0.4","0"
"Croatia","85.2","12.2","2.3","0.2"
"Czech Rep.","90.8","7.2","1.5","0.2"
"Dominican Rep.","85.1","14.4","0","0"
"El Salvador","96.6","2.5","0.5","0.2"
"Estonia","77.7","19.5","2.1","0.2"
"Finland","80.4","15.9","2.1","0.4"
"Georgia","94.6","4.3","0.5","0.4"
"Germany","78.4","18.3","2.6","0.5"
"Hungary","89.4","8.2","1.2","1.1"
"India","90.8","7.9","0.9","0.1"
"Japan","89.8","8.3","0.7","0.2"
"South Korea","90.1","9.1","0.4","0"
"Latvia","67.8","25.4","4.9","1.5"
"Lithuania","73.2","23","2.5","0.3"
"Mexico","72","23.6","3.8","0.4"
"Moldova","79","18.1","2.2","0.6"
"New Zealand","92.6","5.7","0.7","0.1"
"Nigeria","97.5","2.1","0.2","0"
"Norway","87.8","10.6","1.6","0.1"
"Pakistan","80.8","14.6","3.7","0.6"
"Peru","87.4","11.1","1.2","0"
"Philippines","95.8","4","0.1","0.1"
"Poland","89.7","9.5","0.2","0.2"
"Puerto Rico","92.6","7","0.2","0.2"
"Romania","88.6","8.9","2","0.2"
"Russia","83.7","12.6","2.6","0.7"
"Slovakia","90.9","8.2","0.7","0.1"
"Slovenia","82","14.5","1.8","1.1"
"South Africa","93.1","4.7","1.7","0.4"
"Spain","81.8","17.3","0.5","0.3"
"Sweden","90.2","8.2","1.4","0.2"
"Switzerland","80.9","16.2","2.5","0.3"
"Turkey","96.6","3","0.2","0.1"
"Ukraine","85.7","11.3","1.4","0.5"
"Macedonia","97.5","1.8","0.2","0"
"United States","95.2","4","0.6","0.1"
"Uruguay","91.3","7.1","1","0.5"
"Venezuela","97.9","1.6","0","0.4"
"Serbia","88.6","9.5","1.4","0.2"
"Montenegro","88.3","11.2","0.4","0"
"Bosnia","96.8","3","0.1","0.1"
