Country,Very important,Rather important,Not very important,Not at all important
Algeria,93.1,4.2,1.2,1.2
Azerbaijan,93.9,5.2,0.7,0.2
Argentina,88.9,10.2,0.4,0.3
Australia,92.5,6.1,0.6,0.2
Bahrain,47.8,39.6,9.5,2.9
Armenia,96.9,2.2,0.3,0.2
Brazil,87.4,11.3,1,0.2
Belarus,88.3,9.7,1.3,0.3
Chile,91.7,7.1,1,0.2
China,85.7,12.8,0.5,0.1
Taiwan,90.9,7.9,0.6,0.1
Colombia,85.1,14.4,0.3,0.2
Cyprus,92.5,6.9,0.3,0.1
Ecuador,98.6,1,0.1,0.3
Estonia,88,9.8,1.7,0.4
Georgia,98.4,1.5,0.1,0
Palestine,95.7,3.6,0.6,0
Germany,77.6,17.9,3.6,0.6
Ghana,95.9,2.7,0.9,0.6
Hong Kong,85.1,12.5,1.9,0.3
India,94.9,4.3,0.3,0
Iraq,92.9,6.4,0.5,0.2
Japan,90.8,6.8,0.6,0.2
Kazakhstan,92.4,7,0.4,0.2
Jordan,95.8,4,0.2,0
South Korea,91.3,7.6,0.5,0.3
Kuwait,93.2,4.8,0.8,0.4
Kyrgyzstan,96.5,3.1,0.3,0.1
Lebanon,75.1,11.9,3,5.4
Libya,96.9,2.4,0.4,0.2
Malaysia,97.7,1.9,0.3,0.1
Mexico,97.6,1.7,0.8,0
Morocco,90.7,8.5,0.3,0.3
Netherlands,85.5,8.8,2.3,1.3
New Zealand,92.9,4.9,0.7,0
Nigeria,98.4,1.3,0.2,0
Pakistan,94,5.6,0.3,0
Peru,85.3,14.1,0.7,0
Philippines,98.8,1.1,0.1,0
Poland,92.1,6.4,0.3,0.3
Qatar,99,0.8,0.1,0.1
Romania,93.1,5.5,1.1,0.2
Russia,85,12.7,1.3,0.5
Rwanda,91.7,7.2,0.7,0.3
Singapore,93.3,5.8,0.6,0.3
Slovenia,88.7,10.1,0.6,0.2
South Africa,92.5,6,1.1,0.2
Zimbabwe,97.3,2.2,0.2,0.4
Spain,91.1,8.4,0.2,0.2
Sweden,89.2,9,1.3,0.2
Thailand,88.6,9.4,1.3,0.4
Trinidad and Tobago,94.6,3.7,1.2,0.3
Tunisia,97.6,1.8,0.2,0.1
Turkey,95.4,4.3,0.1,0.1
Ukraine,92,6.6,1.3,0.1
Egypt,97.4,2.2,0.5,0
United States,90.9,7.3,0.8,0.6
Uruguay,88.7,9.9,0.6,0.7
Uzbekistan,97.5,2.1,0.3,0
Yemen,95.8,2.9,0.6,0.1
