Country,Very happy,Rather happy,Not very happy,Not at all happy,Don't know
Albania,3.1,30.3,52.5,10.9,3.2
Azerbaijan,11,65.6,20.2,1.3,1.9
Argentina,28.8,52.8,14.9,2.4,1.1
Australia,42.8,51.5,4.4,1,0.3
Bangladesh,18,66.8,13.2,1.7,0.4
Armenia,6,48.8,34.2,7.4,3.6
Bulgaria,9,46.5,32.7,8.7,3.1
Belarus,4.2,40.7,42.8,8.8,3.4
Chile,27,52.7,19.2,0.7,0.4
China,22.7,60.9,14.1,1.7,0.6
Taiwan,29.7,60.9,7.3,1.5,0.3
Colombia,47.1,37.2,14.7,1,0
Croatia,8.4,61,26.3,3.3,1.1
Czech Rep.,8.9,73.8,14.2,2.1,0
Dominican Rep.,31.9,40.5,24.9,1,1.7
El Salvador,55.6,36.4,6.7,1.1,0.2
Estonia,4.6,59.1,29.5,5.1,1.8
Finland,23.7,67.5,6.5,1.1,1.2
Georgia,11.6,53.6,29.1,5.2,0.4
Germany,17.9,62.6,15.3,3,1.2
Hungary,13.5,63.8,17.7,3.8,1.1
India,29.9,46,19.8,2.8,1.5
Japan,32.5,56.5,8.9,0.6,1.4
South Korea,11.9,76.9,10.1,1,0.1
Latvia,4.4,64.4,24.2,3.3,3.7
Lithuania,4.1,50.6,36,4.9,4.5
Mexico,27.5,38.7,29.3,3.1,1.5
Moldova,3.6,39.8,47.7,7.8,1.1
New Zealand,32.8,61.5,4.3,0.6,0.1
Nigeria,46.2,38.1,12.4,2.9,0.1
Norway,29.9,64.4,4.8,0.7,0.2
Pakistan,27.9,51.2,16.9,4,0
Peru,28.2,34.7,35.1,1.2,0.8
Philippines,40.2,52.2,6.3,1.1,0.1
Poland,18.3,67,11.5,2.5,0.7
Puerto Rico,42.9,47.9,7.8,1,0.3
Romania,5.1,51,35.2,7.1,1.6
Russia,6.1,44.1,40.3,7.6,1.9
Slovakia,6.6,64.8,24.3,3.7,0.6
Slovenia,13.4,60.4,22.5,2.8,0.9
South Africa,35.3,37.1,21.7,5.6,0.3
Spain,18.7,67.8,12.2,0.9,0.3
Sweden,39.2,54.7,4.1,0.8,1.2
Switzerland,39.8,54.5,4.7,0.6,0.4
Turkey,51,37.3,9.4,2.1,0.1
Ukraine,4.9,40.9,40.9,8.4,4.8
Macedonia,13.4,48.9,32.6,3.4,1.7
United Kingdom,32.4,58.2,6.8,2.4,0.2
United States of America,46.3,47.5,5.3,0.5,0.4
Uruguay,20.6,58.8,17.6,2.4,0.6
Venezuela,54.4,38.2,5.8,0.7,0.8
Serbia,13.9,56,24.5,4.5,1.1
Montenegro,13.8,55.4,27.5,1.7,1.7
Bosnia,15,64.1,18.6,1.5,0.8
