"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","24.2","34.5","28.2","10.7"
"Azerbaijan","29.5","52.5","13.2","3.3"
"Argentina","34.9","31.1","21.3","11.8"
"Australia","23.1","24.6","32.2","19.2"
"Bangladesh","82.2","16.1","1","0.5"
"Armenia","25","36.8","22.6","9.6"
"Brazil","64.5","24.8","7.7","2.8"
"Bulgaria","14.8","25.7","30.6","24.3"
"Belarus","20","31","25.2","15.4"
"Chile","41.8","31.3","19","5.6"
"China","3.9","10.3","30.8","44"
"Taiwan","12.6","35.1","44.7","6"
"Colombia","49","38.7","10.5","1.5"
"Croatia","25.7","29.8","28","15.6"
"Czech Rep.","9","14","27.6","46.4"
"Dominican Rep.","49.6","32.1","11.5","3.4"
"El Salvador","86.5","8.2","2.6","2.2"
"Estonia","7.9","19.4","37.5","32.7"
"Finland","13.3","31.5","37.1","17.3"
"Georgia","49.3","34.1","10.8","5.6"
"Germany","10.8","16.2","30.2","41.7"
"Hungary","21.5","20.6","29.2","28.5"
"India","48.2","29.5","13.9","7"
"Japan","6.4","14.9","38.3","31.7"
"South Korea","19.8","30.8","32.6","15.7"
"Latvia","12.2","23.5","32.8","27.1"
"Lithuania","13.1","39.2","30.9","14"
"Mexico","45.4","33.2","17.1","3"
"Moldova","30.5","36","22.8","10"
"New Zealand","19","19.2","26.4","30.2"
"Nigeria","91.5","6.7","1.3","0.2"
"Norway","12.1","26.1","41.1","20.7"
"Pakistan","80.5","14.1","5.3","0.1"
"Peru","53.3","28.4","12.9","2.2"
"Philippines","78.3","19.5","1.8","0.2"
"Poland","46.4","36.3","13","3.2"
"Puerto Rico","71.2","21.6","4.1","2.7"
"Romania","37.5","37.6","17.8","4.8"
"Russia","14","25.9","34.8","22.5"
"Slovakia","23.7","30.5","24.2","19.3"
"Slovenia","16.3","26.7","34.2","21.8"
"South Africa","67.8","22.1","7","2.5"
"Spain","25.2","32.5","27.8","13.9"
"Sweden","9.5","19.7","42.6","27.2"
"Switzerland","14.3","26.4","32.3","24.6"
"Turkey","83.3","10.2","4.1","2.4"
"Ukraine","19.1","29.7","24.4","18"
"Macedonia","33.8","29.2","20.6","12.3"
"United States","55.9","26.2","12.4","5.2"
"Uruguay","22.8","26.1","30.3","19.3"
"Venezuela","61.1","23.9","9.2","5.6"
"Serbia","25.3","28.8","29.1","14"
"Montenegro","23.8","27.5","32.5","13.3"
"Bosnia","39.8","35.8","15.6","8.2"
