"Country","Very good","Good","Fair","Poor"
"TOTAL","26.2","44.2","23.4","5.9"
"Algeria","22.4","42.6","25.6","8"
"Azerbaijan","15.6","50.5","27.6","6.3"
"Argentina","28.5","46.4","19.9","4.8"
"Australia","31.6","46.2","18.5","3.1"
"Bahrain","24.3","49.6","18.5","6.8"
"Armenia","10.7","30","39.4","19.8"
"Brazil","24.2","47","25.5","3.1"
"Belarus","4.5","28.9","51.9","13.2"
"Chile","19","53.7","23.8","3.4"
"China","23.6","45.1","24.7","6.1"
"Taiwan","27.4","58.9","10.8","2.7"
"Colombia","26.1","49.9","22.2","1.7"
"Cyprus","39.7","35.1","20.5","4.5"
"Ecuador","25.6","48.4","22.5","3.4"
"Estonia","12.4","36.3","41.2","9.9"
"Georgia","13.6","29","37.4","20"
"Palestine","28","46.8","19.1","6.1"
"Germany","27.7","39.1","25.3","7.8"
"Ghana","49.7","37.7","10","2.7"
"Hong Kong","14.8","43","36.5","5.4"
"India","26.5","45.3","20.6","7.3"
"Iraq","16.2","49.2","27.3","6.8"
"Japan","13.3","37.9","37.5","9.6"
"Kazakhstan","13.5","48.1","33","5.4"
"Jordan","38.9","41.2","15.2","4.8"
"South Korea","14.9","65.2","17.6","0.9"
"Kuwait","42.2","42.1","13","1.8"
"Kyrgyzstan","18.3","56.9","21.9","2.8"
"Lebanon","26.1","47.7","23.8","2.2"
"Libya","51.3","33.7","10.8","3.5"
"Malaysia","38.3","48.5","11.8","1.5"
"Mexico","26.1","46.6","25","2.2"
"Morocco","37.4","34.2","23.2","5.1"
"Netherlands","15.1","60.2","20.4","3.6"
"New Zealand","35.2","45.2","15.3","2.7"
"Nigeria","55","35.8","7.3","1.8"
"Pakistan","36.1","43.2","15.7","4.6"
"Peru","13.2","41.1","41.8","3.6"
"Philippines","17.7","38.8","38.3","5.1"
"Poland","20.9","40.4","28.5","10.3"
"Qatar","50.3","38.2","10.4","1.1"
"Romania","15.4","49.7","25.9","8.9"
"Russia","5.1","39","44.5","10.6"
"Rwanda","33.8","49.1","13","4.1"
"Singapore","27","53.6","17.2","2"
"Slovenia","22.3","42.8","22.9","12"
"South Africa","41.8","42","11.9","4.3"
"Zimbabwe","46.5","33.6","14.7","5.2"
"Spain","20.3","53.9","20.6","5"
"Sweden","30.8","44.8","21","3.3"
"Thailand","29.4","49.9","18.3","2.4"
"Trinidad and Tobago","42.5","32.4","20.6","4.4"
"Tunisia","28","42.1","23","6.8"
"Turkey","18.8","47.6","25.5","5.6"
"Ukraine","6","31.2","45.5","16.6"
"Egypt","14.3","45","25","15.7"
"United States","27.8","52.1","16.1","3.3"
"Uruguay","25.8","54.6","16.4","3.1"
"Uzbekistan","25.5","48","22.3","4.1"
"Yemen","24.4","46.1","23.8","5.7"
