"Country","1995","2004","2009","2014"
"Afghanistan","0.324","0.396","0.448","0.479"
"Albania","0.628","0.685","0.725","0.762"
"Algeria","0.6","0.68","0.714","0.743"
"Andorra","","","","0.857"
"Angola","","0.426","0.488","0.531"
"Antigua and Barbuda","","","0.783","0.784"
"Argentina","0.731","0.78","0.802","0.826"
"Armenia","0.603","0.679","0.72","0.741"
"Australia","0.885","0.91","0.927","0.937"
"Austria","0.816","0.848","0.872","0.892"
"Azerbaijan","0.609","0.675","0.737","0.758"
"Bahamas","","0.786","0.788","0.79"
"Bahrain","0.775","0.806","0.81","0.823"
"Bangladesh","0.423","0.499","0.535","0.575"
"Barbados","0.729","0.761","0.781","0.794"
"Belarus","0.655","0.713","0.78","0.798"
"Belgium","0.851","0.861","0.878","0.895"
"Belize","0.662","0.695","0.7","0.706"
"Benin","0.371","0.43","0.451","0.481"
"Bhutan","","","","0.604"
"Bolivia","0.571","0.622","0.643","0.671"
"Bosnia and Herzegovina","","","0.717","0.747"
"Botswana","0.58","0.593","0.669","0.698"
"Brazil","0.649","0.694","0.716","0.754"
"Brunei","0.805","0.834","0.845","0.864"
"Bulgaria","0.702","0.745","0.77","0.792"
"Burkina Faso","","","0.365","0.399"
"Burundi","0.266","0.286","0.361","0.406"
"Cambodia","0.379","0.47","0.519","0.558"
"Cameroon","0.436","0.456","0.48","0.514"
"Canada","0.86","0.886","0.898","0.919"
"Cape Verde","","0.582","0.627","0.646"
"Central African Republic","0.307","0.319","0.352","0.347"
"Chad","","0.306","0.36","0.394"
"Chile","0.728","0.79","0.815","0.845"
"China","0.547","0.634","0.691","0.734"
"Colombia","0.626","0.658","0.695","0.724"
"Comoros","","0.434","0.476","0.498"
"Congo, Dem. Rep.","0.331","0.355","0.395","0.425"
"Congo, Rep.","0.493","0.496","0.548","0.59"
"Costa Rica","0.684","0.723","0.749","0.775"
"Cote d'Ivoire","0.388","0.406","0.436","0.466"
"Croatia","0.695","0.777","0.803","0.823"
"Cuba","0.654","0.719","0.784","0.773"
"Cyprus","0.784","0.826","0.853","0.854"
"Czech Republic","0.785","0.84","0.859","0.875"
"Denmark","0.83","0.897","0.906","0.923"
"Djibouti","0.353","0.396","0.441","0.47"
"Dominica","","0.703","0.721","0.724"
"Dominican Republic","0.628","0.668","0.697","0.718"
"Ecuador","0.662","0.688","0.703","0.739"
"Egypt","0.577","0.629","0.665","0.688"
"El Salvador","0.577","0.644","0.662","0.678"
"Equatorial Guinea","","0.563","0.589","0.582"
"Eritrea","","","0.404","0.418"
"Estonia","0.722","0.812","0.833","0.863"
"Ethiopia","","0.325","0.401","0.441"
"Fiji","0.67","0.699","0.706","0.734"
"Finland","0.815","0.864","0.874","0.893"
"France","0.825","0.86","0.879","0.894"
"Gabon","0.634","0.64","0.66","0.694"
"Gambia","0.351","0.412","0.439","0.45"
"Georgia","","0.703","0.738","0.768"
"Germany","0.834","0.884","0.907","0.924"
"Ghana","0.473","0.499","0.547","0.575"
"Greece","0.774","0.839","0.859","0.865"
"Grenada","","","","0.751"
"Guatemala","0.507","0.567","0.602","0.637"
"Guinea","0.29","0.346","0.38","0.414"
"Guinea-Bissau","","","0.405","0.421"
"Guyana","0.582","0.619","0.618","0.638"
"Haiti","0.417","0.452","0.47","0.49"
"Honduras","0.53","0.577","0.606","0.623"
"Hungary","0.741","0.795","0.817","0.834"
"Iceland","0.82","0.879","0.894","0.919"
"India","0.46","0.526","0.569","0.615"
"Indonesia","0.564","0.629","0.656","0.686"
"Iran","0.634","0.687","0.735","0.774"
"Iraq","0.553","0.628","0.646","0.649"
"Ireland","0.794","0.889","0.907","0.92"
"Israel","0.817","0.866","0.878","0.898"
"Italy","0.799","0.851","0.869","0.881"
"Jamaica","0.671","0.706","0.721","0.729"
"Japan","0.838","0.87","0.879","0.902"
"Jordan","0.687","0.73","0.739","0.741"
"Kazakhstan","0.665","0.737","0.763","0.793"
"Kenya","0.459","0.474","0.523","0.55"
"Kiribati","","","0.584","0.586"
"Kuwait","0.747","0.789","0.79","0.799"
"Kyrgyz Republic","0.562","0.612","0.631","0.662"
"Lao","0.425","0.494","0.535","0.582"
"Latvia","0.674","0.791","0.815","0.828"
"Lebanon","","","0.752","0.763"
"Lesotho","0.483","0.437","0.464","0.495"
"Liberia","","0.372","0.403","0.427"
"Libya","0.709","0.748","0.755","0.719"
"Liechtenstein","","0.883","0.899","0.911"
"Lithuania","0.702","0.798","0.824","0.846"
"Luxembourg","0.808","0.874","0.884","0.896"
"Macedonia, FYR","","","0.732","0.746"
"Madagascar","","0.473","0.503","0.511"
"Malawi","0.38","0.371","0.43","0.473"
"Malaysia","0.683","0.734","0.764","0.787"
"Maldives","0.52","0.625","0.653","0.701"
"Mali","0.252","0.338","0.396","0.438"
"Malta","0.758","0.805","0.819","0.853"
"Mauritania","0.422","0.461","0.484","0.513"
"Mauritius","0.648","0.704","0.74","0.779"
"Mexico","0.67","0.719","0.739","0.758"
"Micronesia, Fed. Sts.","","0.617","0.633","0.637"
"Moldova","0.594","0.64","0.664","0.701"
"Mongolia","0.554","0.637","0.693","0.733"
"Montenegro","","0.746","0.787","0.804"
"Morocco","0.489","0.569","0.603","0.645"
"Mozambique","0.23","0.341","0.39","0.414"
"Myanmar","0.393","0.465","0.515","0.552"
"Namibia","0.587","0.565","0.604","0.637"
"Nepal","0.41","0.469","0.515","0.555"
"Netherlands","0.863","0.888","0.906","0.923"
"New Zealand","0.851","0.886","0.899","0.913"
"Nicaragua","0.524","0.592","0.614","0.642"
"Niger","0.231","0.278","0.312","0.351"
"Nigeria","","0.463","0.492","0.525"
"Norway","0.883","0.929","0.936","0.948"
"Oman","","0.742","0.797","0.795"
"Pakistan","0.429","0.487","0.521","0.548"
"Palau","","0.756","0.77","0.783"
"Palestine","","0.648","0.667","0.678"
"Panama","0.691","0.74","0.756","0.785"
"Papua New Guinea","0.398","0.446","0.485","0.515"
"Paraguay","0.606","0.646","0.664","0.692"
"Peru","0.642","0.692","0.708","0.737"
"Philippines","0.597","0.642","0.662","0.679"
"Poland","0.738","0.797","0.822","0.852"
"Portugal","0.759","0.79","0.812","0.841"
"Qatar","0.783","0.83","0.825","0.855"
"Romania","0.686","0.745","0.797","0.798"
"Russia","0.7","0.748","0.773","0.805"
"Rwanda","0.23","0.388","0.454","0.493"
"Samoa","0.619","0.671","0.69","0.702"
"Sao Tome and Principe","0.471","0.514","0.542","0.565"
"Saudi Arabia","0.722","0.761","0.792","0.845"
"Senegal","0.371","0.415","0.449","0.491"
"Serbia","0.694","0.73","0.755","0.775"
"Seychelles","","0.712","0.74","0.781"
"Sierra Leone","0.269","0.341","0.384","0.431"
"Singapore","0.773","0.821","0.889","0.924"
"Slovak Republic","0.75","0.784","0.822","0.842"
"Slovenia","0.782","0.853","0.872","0.888"
"Solomon Islands","","0.465","0.492","0.514"
"South Africa","0.653","0.609","0.63","0.665"
"South Korea","0.781","0.852","0.87","0.899"
"South Sudan","","","","0.421"
"Spain","0.801","0.837","0.86","0.882"
"Sri Lanka","0.651","0.712","0.739","0.764"
"St. Kitts and Nevis","","","","0.762"
"St. Lucia","","0.689","0.724","0.735"
"St. Vincent and the Grenadines","","0.692","0.711","0.72"
"Sudan","0.365","0.423","0.461","0.488"
"Suriname","","0.672","0.7","0.723"
"Swaziland","0.543","0.495","0.523","0.541"
"Sweden","0.856","0.89","0.895","0.909"
"Switzerland","0.846","0.899","0.92","0.938"
"Syria","0.577","0.624","0.65","0.553"
"Tajikistan","0.539","0.572","0.603","0.625"
"Tanzania","0.368","0.432","0.488","0.519"
"Thailand","0.611","0.682","0.711","0.738"
"Timor-Leste","","0.492","0.599","0.603"
"Togo","0.408","0.435","0.449","0.484"
"Tonga","0.671","0.694","0.707","0.718"
"Trinidad and Tobago","0.682","0.745","0.772","0.779"
"Tunisia","0.608","0.683","0.71","0.723"
"Turkey","0.604","0.681","0.715","0.764"
"Turkmenistan","","","","0.688"
"Uganda","0.32","0.429","0.473","0.488"
"Ukraine","0.664","0.707","0.728","0.748"
"United Arab Emirates","0.764","0.818","0.826","0.836"
"United Kingdom","0.839","0.886","0.895","0.908"
"United States","0.877","0.895","0.907","0.918"
"Uruguay","0.711","0.753","0.777","0.794"
"Uzbekistan","","0.62","0.657","0.697"
"Vanuatu","","","0.59","0.598"
"Venezuela","0.658","0.7","0.754","0.769"
"Vietnam","0.531","0.609","0.647","0.678"
"Yemen","0.421","0.47","0.488","0.499"
