"Country","1995","2004","2009","2014"
"Afghanistan","881","1060","1530","1780"
"Albania","4130","7020","9530","10700"
"Algeria","9300","11800","12600","13500"
"Andorra","26100","36300","41700","44900"
"Angola","2970","3460","5910","6260"
"Antigua and Barbuda","16500","19200","20800","19500"
"Argentina","13900","14400","17200","18800"
"Armenia","2170","4670","6530","7970"
"Australia","30400","38100","41200","43400"
"Austria","33700","40600","42500","44100"
"Azerbaijan","3320","6440","15400","16700"
"Bahamas","22100","25100","22900","22300"
"Bahrain","43500","43900","41300","44400"
"Bangladesh","1440","1840","2340","2970"
"Barbados","12400","14500","15400","15300"
"Belarus","5450","10200","15000","17900"
"Belgium","32700","39300","40400","41400"
"Belize","6210","7870","7810","8050"
"Benin","1520","1760","1830","2000"
"Bhutan","2900","4330","5850","7370"
"Bolivia","4110","4580","5280","6330"
"Bosnia and Herzegovina","1830","7650","9580","10500"
"Botswana","8900","11200","12500","15900"
"Brazil","11100","12100","13700","15400"
"Brunei","86100","83900","79500","76100"
"Bulgaria","8450","11700","15200","16300"
"Burkina Faso","869","1170","1350","1540"
"Burundi","870","742","760","803"
"Cambodia","1100","1770","2420","3120"
"Cameroon","2260","2650","2640","2900"
"Canada","32200","39600","39900","42900"
"Cape Verde","2420","4410","5810","5930"
"Central African Republic","858","824","870","602"
"Chad","1040","1590","1750","2080"
"Chile","12200","16300","18500","22200"
"China","2560","5170","8650","12800"
"Colombia","8440","8960","10600","12700"
"Comoros","1440","1470","1420","1430"
"Congo, Dem. Rep.","731","534","588","726"
"Congo, Rep.","4580","4540","4920","5540"
"Costa Rica","8960","10800","12500","14400"
"Cote d'Ivoire","2900","2690","2700","3060"
"Croatia","12600","18800","20400","20100"
"Cuba","9270","13100","17900","20000"
"Cyprus","26500","32900","34400","29700"
"Czech Republic","19200","24200","27700","29100"
"Denmark","37200","43700","43400","45100"
"Djibouti","2480","2230","2590","3000"
"Dominica","7220","8880","10200","10400"
"Dominican Republic","6190","8150","10400","12600"
"Ecuador","7730","8310","9180","10900"
"Egypt","6290","7800","9560","9880"
