"Country","1995","2004","2009","2014"
"Afghanistan","51.1","53.5","55.7","57.8"
"Albania","74.1","74.7","75.9","77.4"
"Algeria","72.3","75.1","76.3","77.1"
"Andorra","80.3","82.3","82.7","82.6"
"Angola","52","55.7","59.3","63.3"
"Antigua and Barbuda","74.4","75.7","76.9","77.1"
"Argentina","73.1","74.9","75.7","76.4"
"Armenia","69.3","72.7","73","75.4"
"Australia","78.3","80.8","81.8","82.6"
"Austria","76.7","79.2","80.3","81.3"
"Azerbaijan","64.9","67.4","68.8","71.5"
"Bahamas","70.6","72.7","73.8","73.8"
"Bahrain","70.3","73.1","75.7","76.7"
"Bangladesh","61.7","67.6","70.1","72"
"Barbados","73.7","75.8","76.6","76.7"
"Belarus","68.3","68.7","70.3","73"
"Belgium","76.9","78.8","79.8","80.9"
"Belize","70.7","69.7","71.1","71.8"
"Benin","56.5","59","61.4","63.4"
"Bhutan","62.9","69.1","71.6","73.5"
"Bolivia","64.3","69.7","71.3","72.7"
"Bosnia and Herzegovina","68.9","75.6","76.6","77.2"
"Botswana","56.4","46.1","54.9","63.7"
"Brazil","69.7","72.7","74","75"
"Brunei","74.4","76.8","76.9","76.9"
"Bulgaria","71","72.6","73.6","75"
"Burkina Faso","50.7","54.4","57.4","59.8"
"Burundi","47","52","57.1","59.6"
"Cambodia","58.2","62","65.7","68"
"Cameroon","56.5","54.6","56.8","59.2"
"Canada","78","80","81.1","81.8"
"Cape Verde","67.2","70.8","72.2","73.3"
"Central African Republic","46.2","44.8","47","48.4"
"Chad","53.5","53.1","55.9","58.7"
"Chile","75.4","78.1","79.2","80"
"China","68.4","71.9","74.3","75.9"
"Colombia","72","74.6","76.2","77.9"
"Comoros","60","64","64.9","67"
"Congo, Dem. Rep.","53.1","54.9","56.9","60.1"
"Congo, Rep.","52.7","55.8","59.6","62.4"
"Costa Rica","77","79.1","80.3","80.8"
"Cote d'Ivoire","52.9","53.3","55.8","58.6"
"Croatia","72.3","74.9","76.1","77.3"
"Cuba","75.2","77.5","78.3","78.8"
"Cyprus","75.7","77.9","79.6","80.5"
"Czech Republic","73.3","75.9","77.2","78.6"
"Denmark","75.6","77.8","79.2","80.7"
"Djibouti","61.4","61.7","63.3","65.6"
"Dominica","71.7","73.3","73.4","72.7"
"Dominican Republic","72.1","73.3","74.4","75.3"
"Ecuador","72.8","75.3","76.5","77.8"
"Egypt","67.7","70.1","70.4","71.8"
"El Salvador","70.3","72.9","73.8","74.8"
"Equatorial Guinea","47.9","58","60.3","64.7"
"Eritrea","56.6","60.3","61.5","63"
"Estonia","67.9","72.4","75","77.1"
"Ethiopia","49.9","55.3","60.4","64.6"
"Fiji","64.6","64.8","65","65.5"
"Finland","76.6","78.7","79.8","81.2"
"France","78.1","80.1","81.2","82.2"
"Gabon","59.7","59.3","62","65.3"
"Gambia","62.7","64.3","65.1","66.7"
"Georgia","70.4","71.6","72.7","73.5"
"Germany","76.5","78.9","79.9","80.8"
"Ghana","59.5","59.9","61.7","64.9"
"Greece","77.8","79.5","80.3","80.9"
"Grenada","71.4","70.6","71.4","71.3"
"Guatemala","66.6","69.7","71","72.3"
"Guinea","53.4","55.8","57.5","59.2"
"Guinea-Bissau","50.9","53.2","55","57.6"
"Guyana","65.2","64.8","65.4","66.7"
"Haiti","55.1","56.6","60","63.3"
"Honduras","68.5","70.3","71.5","72.3"
"Hungary","70.2","72.9","74.2","75.6"
"Iceland","78.5","81","81.9","82.2"
"India","60.8","63.8","65.8","67.8"
"Indonesia","65.8","66.5","69.6","71.1"
"Iran","70.9","72.1","74.1","75.3"
"Iraq","65.3","65.3","66.9","67.1"
"Ireland","75.8","78.5","79.9","81.1"
"Israel","77","79.3","80.9","81.4"
"Italy","78.1","80.6","81.5","82.2"
"Jamaica","74.2","74.3","74.6","74.9"
"Japan","79.7","81.8","82.7","83.6"
"Jordan","72.7","73","75.3","76.6"
"Kazakhstan","64.4","64.9","67.7","71.2"
"Kenya","57.3","56.6","61.7","65.8"
"Kiribati","58.6","60","60.6","61.4"
"Kuwait","76.2","77.1","77.5","79.9"
"Kyrgyz Republic","64.1","66.7","68","70.7"
"Lao","54.5","59.7","63.1","66.3"
"Latvia","66.6","70.9","72.6","74.6"
"Lebanon","73.5","78","79.5","80"
"Lesotho","57.7","43.8","45.4","48.6"
"Liberia","50.3","57.6","60.3","59.4"
"Libya","74.1","75","75.9","74.4"
"Lithuania","69","72","73","74.7"
"Luxembourg","76.8","79.5","81.2","81.9"
"Macedonia, FYR","71.2","72.7","73.7","74.4"
"Madagascar","56.9","59.6","60.8","62"
"Malawi","46","46.8","51.8","58.5"
"Malaysia","72.4","73.7","74.3","75.1"
